Date,CO,NO1,NO2,O3,SO2
2013-01-23 22:00:00,145.013672,59.5439453,6.2,150.623703,8.98160839
2013-01-23 23:00:00,139.054688,55.7561836,5.7,201.408203,8.83317089
2013-01-24 00:00:00,119.549477,55.7109375,4.5,161.759766,9.99279785
2013-01-24 01:00:00,129.469727,55.4658203,2.4,233.708984,8.44421387
2013-01-24 02:00:00,110.546875,66.8193359,3.0,211.558594,16.2248535
2013-01-24 03:00:00,107.192383,62.3808594,2.4,204.566406,13.6170654
2013-01-24 04:00:00,88.2675781,65.7851563,1.7,108.722656,7.25067139
2013-01-24 05:00:00,91.0266953,54.2729492,1.6,151.125,9.32519531
2013-01-24 06:00:00,78.9482422,59.2304688,2.0,103.222008,10.3835449
2013-01-24 07:00:00,86.4589844,58.3530273,3.2,100.691406,7.84759521
2013-01-24 08:00:00,104.778648,52.9570313,2.0,65.5415039,16.0201416
2013-01-24 09:00:00,92.5931015,63.0854492,2.4,43.2353516,16.0622559
2013-01-24 10:00:00,76.2412109,82.6503906,2.2,38.3883476,14.4030762
2013-01-24 11:00:00,49.9326172,120.716797,1.5,23.2810059,11.9683428
2013-01-24 12:00:00,35.519043,142.699219,1.1,18.887207,20.8214512
2013-01-24 13:00:00,24.2875977,144.976563,1.0,17.3007813,16.107666
2013-01-24 14:00:00,18.7324219,144.808594,0.7,19.8684902,13.2315674
2013-01-24 18:00:00,79.3828125,89.9384766,1.6,23.6989746,6.19893408
2013-01-24 19:00:00,88.8417969,68.6100235,4.0,30.9811192,5.33807373
2013-01-24 20:00:00,108.236977,67.6556015,3.0,33.2319336,8.86922169
2013-01-24 21:00:00,78.5566406,82.9814453,3.8,18.9156895,7.64416504
2013-01-24 22:00:00,97.258461,63.1005859,3.2,37.5974922,18.2322598
2013-01-24 23:00:00,95.5898438,80.1927109,3.5,29.5541992,17.3692226
2013-01-25 00:00:00,62.2594414,83.5273438,1.5,34.577961,27.5517578
2013-02-03 11:00:00,59.7773438,168.408203,2.9,19.904623,23.59375
2013-02-03 12:00:00,59.7773438,168.408203,1.6,19.904623,23.59375
2013-02-03 13:00:00,59.7773438,168.408203,0.8,19.904623,23.59375
