,NO2,Date
91,125.9,2015-01-16 20:00:00
92,124.6,2015-01-16 21:00:00
93,111.0,2015-01-16 22:00:00
94,96.8,2015-01-16 23:00:00
95,77.9,2015-01-17 00:00:00
96,79.1,2015-01-17 01:00:00
97,88.3,2015-01-17 02:00:00
98,76.1,2015-01-17 03:00:00
99,56.9,2015-01-17 04:00:00
100,57.1,2015-01-17 05:00:00
101,56.7,2015-01-17 06:00:00
102,50.2,2015-01-17 07:00:00
103,60.2,2015-01-17 08:00:00
104,58.0,2015-01-17 09:00:00
105,58.9,2015-01-17 10:00:00
106,70.8,2015-01-17 11:00:00
107,102.6,2015-01-17 12:00:00
108,84.1,2015-01-17 13:00:00
109,59.1,2015-01-17 14:00:00
110,51.4,2015-01-17 15:00:00
111,75.2,2015-01-17 16:00:00
112,90.2,2015-01-17 17:00:00
113,148.8,2015-01-17 18:00:00
114,141.1,2015-01-17 19:00:00
115,140.5,2015-01-17 20:00:00
116,119.8,2015-01-17 21:00:00
117,126.1,2015-01-17 22:00:00
118,128.7,2015-01-17 23:00:00
119,118.0,2015-01-18 00:00:00
120,86.8,2015-01-18 01:00:00
121,78.1,2015-01-18 02:00:00
122,82.9,2015-01-18 03:00:00
123,67.6,2015-01-18 04:00:00
124,66.7,2015-01-18 05:00:00
125,62.0,2015-01-18 06:00:00
126,62.6,2015-01-18 07:00:00
127,71.6,2015-01-18 08:00:00
128,76.0,2015-01-18 09:00:00
129,114.7,2015-01-18 10:00:00
130,90.4,2015-01-18 11:00:00
131,80.5,2015-01-18 12:00:00
132,72.7,2015-01-18 13:00:00
133,56.4,2015-01-18 14:00:00
134,65.1,2015-01-18 15:00:00
135,83.5,2015-01-18 16:00:00
136,109.7,2015-01-18 17:00:00
137,169.9,2015-01-18 18:00:00
138,176.4,2015-01-18 19:00:00
139,147.9,2015-01-18 20:00:00
140,142.2,2015-01-18 21:00:00
141,174.2,2015-01-18 22:00:00
142,135.4,2015-01-18 23:00:00
143,159.2,2015-01-19 00:00:00
0,108.0,2015-01-19 01:00:00
1,97.2,2015-01-19 02:00:00
2,81.5,2015-01-19 03:00:00
3,89.1,2015-01-19 04:00:00
4,77.0,2015-01-19 05:00:00
5,78.5,2015-01-19 06:00:00
6,88.2,2015-01-19 07:00:00
7,97.0,2015-01-19 08:00:00
8,108.2,2015-01-19 09:00:00
9,122.9,2015-01-19 10:00:00
10,134.9,2015-01-19 11:00:00
11,124.9,2015-01-19 12:00:00
12,,2015-01-19 13:00:00
13,97.6,2015-01-19 14:00:00
14,93.5,2015-01-19 15:00:00
15,110.9,2015-01-19 16:00:00
16,107.9,2015-01-19 17:00:00
17,,2015-01-19 18:00:00
18,,2015-01-19 19:00:00
19,160.1,2015-01-19 20:00:00
20,151.3,2015-01-19 21:00:00
21,121.5,2015-01-19 22:00:00
22,106.9,2015-01-19 23:00:00
23,93.6,2015-01-20 00:00:00
24,95.5,2015-01-20 01:00:00
25,76.1,2015-01-20 02:00:00
26,82.4,2015-01-20 03:00:00
27,75.8,2015-01-20 04:00:00
28,87.2,2015-01-20 05:00:00
29,92.0,2015-01-20 06:00:00
30,83.3,2015-01-20 07:00:00
31,105.9,2015-01-20 08:00:00
32,99.0,2015-01-20 09:00:00
33,89.5,2015-01-20 10:00:00
34,71.3,2015-01-20 11:00:00
35,67.9,2015-01-20 12:00:00
36,84.9,2015-01-20 13:00:00
37,133.7,2015-01-20 14:00:00
38,158.8,2015-01-20 15:00:00
39,110.7,2015-01-20 16:00:00
40,72.4,2015-01-20 17:00:00
41,108.0,2015-01-20 18:00:00
42,128.3,2015-01-20 19:00:00
43,117.6,2015-01-20 20:00:00
44,118.2,2015-01-20 21:00:00
45,124.6,2015-01-20 22:00:00
46,113.5,2015-01-20 23:00:00
47,100.1,2015-01-21 00:00:00
48,76.4,2015-01-21 01:00:00
49,56.9,2015-01-21 02:00:00
50,63.1,2015-01-21 03:00:00
51,65.1,2015-01-21 04:00:00
52,84.5,2015-01-21 05:00:00
53,73.9,2015-01-21 06:00:00
54,88.9,2015-01-21 07:00:00
55,95.6,2015-01-21 08:00:00
56,62.7,2015-01-21 09:00:00
57,84.7,2015-01-21 10:00:00
58,86.8,2015-01-21 11:00:00
59,120.1,2015-01-21 12:00:00
60,166.4,2015-01-21 13:00:00
61,136.5,2015-01-21 14:00:00
62,165.1,2015-01-21 15:00:00
63,168.3,2015-01-21 16:00:00
64,159.0,2015-01-21 17:00:00
65,157.8,2015-01-21 18:00:00
66,143.1,2015-01-21 19:00:00
67,135.4,2015-01-21 20:00:00
68,145.1,2015-01-21 21:00:00
69,130.9,2015-01-21 22:00:00
70,129.3,2015-01-21 23:00:00
71,122.5,2015-01-22 00:00:00
72,96.0,2015-01-22 01:00:00
73,83.2,2015-01-22 02:00:00
74,82.3,2015-01-22 03:00:00
75,79.6,2015-01-22 04:00:00
76,87.0,2015-01-22 05:00:00
77,76.4,2015-01-22 06:00:00
78,84.0,2015-01-22 07:00:00
79,80.3,2015-01-22 08:00:00
80,83.5,2015-01-22 09:00:00
81,89.1,2015-01-22 10:00:00
82,100.3,2015-01-22 11:00:00
83,171.1,2015-01-22 12:00:00
84,131.4,2015-01-22 13:00:00
85,126.6,2015-01-22 14:00:00
86,130.8,2015-01-22 15:00:00
87,117.5,2015-01-22 16:00:00
88,110.6,2015-01-22 17:00:00
89,101.1,2015-01-22 18:00:00
90,97.2,2015-01-22 19:00:00
91,85.5,2015-01-22 20:00:00
92,88.4,2015-01-22 21:00:00
93,77.9,2015-01-22 22:00:00
94,90.4,2015-01-22 23:00:00
95,78.1,2015-01-23 00:00:00
96,68.7,2015-01-23 01:00:00
97,53.2,2015-01-23 02:00:00
98,42.4,2015-01-23 03:00:00
99,63.2,2015-01-23 04:00:00
100,72.3,2015-01-23 05:00:00
101,66.3,2015-01-23 06:00:00
102,85.4,2015-01-23 07:00:00
103,91.1,2015-01-23 08:00:00
104,91.1,2015-01-23 09:00:00
105,78.1,2015-01-23 10:00:00
106,102.4,2015-01-23 11:00:00
107,88.6,2015-01-23 12:00:00
108,78.9,2015-01-23 13:00:00
109,77.5,2015-01-23 14:00:00
110,89.9,2015-01-23 15:00:00
111,79.1,2015-01-23 16:00:00
112,62.8,2015-01-23 17:00:00
113,103.1,2015-01-23 18:00:00
114,105.1,2015-01-23 19:00:00
115,76.3,2015-01-23 20:00:00
116,72.4,2015-01-23 21:00:00
