,CO,Date
25,0.9,2015-01-20 02:00:00
26,1.1,2015-01-20 03:00:00
27,0.8,2015-01-20 04:00:00
28,0.6,2015-01-20 05:00:00
29,,2015-01-20 06:00:00
30,1.4,2015-01-20 07:00:00
31,1.7,2015-01-20 08:00:00
32,2.1,2015-01-20 09:00:00
33,1.8,2015-01-20 10:00:00
34,1.6,2015-01-20 11:00:00
35,,2015-01-20 12:00:00
36,1.8,2015-01-20 13:00:00
37,,2015-01-20 14:00:00
38,,2015-01-20 15:00:00
39,,2015-01-20 16:00:00
40,2.2,2015-01-20 17:00:00
41,,2015-01-20 18:00:00
42,2.0,2015-01-20 19:00:00
43,2.1,2015-01-20 20:00:00
44,2.2,2015-01-20 21:00:00
45,,2015-01-20 22:00:00
46,,2015-01-20 23:00:00
47,,2015-01-21 00:00:00
48,,2015-01-21 01:00:00
49,,2015-01-21 02:00:00
50,,2015-01-21 03:00:00
51,,2015-01-21 04:00:00
52,,2015-01-21 05:00:00
53,,2015-01-21 06:00:00
54,,2015-01-21 07:00:00
55,,2015-01-21 08:00:00
56,2.1,2015-01-21 09:00:00
57,2.6,2015-01-21 10:00:00
58,1.6,2015-01-21 11:00:00
59,,2015-01-21 12:00:00
60,2.1,2015-01-21 13:00:00
61,1.8,2015-01-21 14:00:00
62,1.7,2015-01-21 15:00:00
63,1.8,2015-01-21 16:00:00
64,1.8,2015-01-21 17:00:00
65,,2015-01-21 18:00:00
66,2.7,2015-01-21 19:00:00
67,2.3,2015-01-21 20:00:00
68,2.9,2015-01-21 21:00:00
69,2.2,2015-01-21 22:00:00
70,2.1,2015-01-21 23:00:00
71,,2015-01-22 00:00:00
72,1.7,2015-01-22 01:00:00
73,1.4,2015-01-22 02:00:00
74,1.8,2015-01-22 03:00:00
75,1.4,2015-01-22 04:00:00
76,1.7,2015-01-22 05:00:00
77,,2015-01-22 06:00:00
78,1.7,2015-01-22 07:00:00
79,2.8,2015-01-22 08:00:00
80,2.5,2015-01-22 09:00:00
81,2.7,2015-01-22 10:00:00
82,,2015-01-22 11:00:00
83,,2015-01-22 12:00:00
84,1.0,2015-01-22 13:00:00
85,2.0,2015-01-22 14:00:00
86,1.1,2015-01-22 15:00:00
87,1.2,2015-01-22 16:00:00
88,,2015-01-22 17:00:00
89,,2015-01-22 18:00:00
90,1.4,2015-01-22 19:00:00
91,1.2,2015-01-22 20:00:00
92,0.9,2015-01-22 21:00:00
93,1.1,2015-01-22 22:00:00
94,0.7,2015-01-22 23:00:00
95,,2015-01-23 00:00:00
96,1.3,2015-01-23 01:00:00
97,1.5,2015-01-23 02:00:00
98,1.0,2015-01-23 03:00:00
99,1.4,2015-01-23 04:00:00
100,1.3,2015-01-23 05:00:00
101,,2015-01-23 06:00:00
102,1.1,2015-01-23 07:00:00
103,1.8,2015-01-23 08:00:00
104,2.4,2015-01-23 09:00:00
105,,2015-01-23 10:00:00
106,1.4,2015-01-23 11:00:00
107,,2015-01-23 12:00:00
108,1.3,2015-01-23 13:00:00
109,1.0,2015-01-23 14:00:00
110,,2015-01-23 15:00:00
111,1.2,2015-01-23 16:00:00
112,1.5,2015-01-23 17:00:00
113,,2015-01-23 18:00:00
114,2.0,2015-01-23 19:00:00
115,2.5,2015-01-23 20:00:00
116,,2015-01-23 21:00:00
117,,2015-01-23 22:00:00
118,,2015-01-23 23:00:00
119,,2015-01-24 00:00:00
120,,2015-01-24 01:00:00
121,,2015-01-24 02:00:00
122,,2015-01-24 03:00:00
123,,2015-01-24 04:00:00
124,,2015-01-24 05:00:00
125,,2015-01-24 06:00:00
126,,2015-01-24 07:00:00
127,,2015-01-24 08:00:00
128,,2015-01-24 09:00:00
129,,2015-01-24 10:00:00
130,1.4,2015-01-24 11:00:00
131,,2015-01-24 12:00:00
132,1.2,2015-01-24 13:00:00
133,0.9,2015-01-24 14:00:00
134,0.8,2015-01-24 15:00:00
135,,2015-01-24 16:00:00
136,,2015-01-24 17:00:00
137,,2015-01-24 18:00:00
138,1.3,2015-01-24 19:00:00
139,1.2,2015-01-24 20:00:00
140,0.6,2015-01-24 21:00:00
141,1.5,2015-01-24 22:00:00
142,,2015-01-24 23:00:00
143,,2015-01-25 00:00:00
0,,2015-01-25 01:00:00
1,,2015-01-25 02:00:00
2,,2015-01-25 03:00:00
3,,2015-01-25 04:00:00
4,,2015-01-25 05:00:00
5,,2015-01-25 06:00:00
6,,2015-01-25 07:00:00
7,,2015-01-25 08:00:00
8,,2015-01-25 09:00:00
9,,2015-01-25 10:00:00
10,,2015-01-25 11:00:00
11,,2015-01-25 12:00:00
12,1.6,2015-01-25 13:00:00
13,,2015-01-25 14:00:00
14,1.6,2015-01-25 15:00:00
15,1.2,2015-01-25 16:00:00
16,1.3,2015-01-25 17:00:00
17,,2015-01-25 18:00:00
18,1.8,2015-01-25 19:00:00
19,2.4,2015-01-25 20:00:00
20,1.7,2015-01-25 21:00:00
21,2.4,2015-01-25 22:00:00
22,1.8,2015-01-25 23:00:00
23,,2015-01-26 00:00:00
24,1.7,2015-01-26 01:00:00
25,1.2,2015-01-26 02:00:00
26,1.5,2015-01-26 03:00:00
27,1.7,2015-01-26 04:00:00
28,1.5,2015-01-26 05:00:00
29,,2015-01-26 06:00:00
30,1.7,2015-01-26 07:00:00
